doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
name,became_rfc,expired,replaced,revisions
draft-ietf-isis-segment-routing-extensions,True,False,False,25
draft-ietf-dnsop-edns-chain-query,True,False,False,7
draft-ietf-dnsop-edns-tcp-keepalive,True,False,False,6
draft-ietf-6man-why64,True,False,False,8
draft-ietf-dane-openpgpkey-usage,False,True,False,1
draft-ietf-dane-openpgpkey,True,False,False,12
draft-ietf-ccamp-ospf-availability-extension,True,False,False,13
draft-ietf-roll-admin-local-policy,True,False,False,3
draft-ietf-oim-eventmanagement,False,True,False,0
draft-ietf-ppp-multidatagrams,True,False,False,4
draft-ietf-idpr-architecture,True,False,False,5
draft-ietf-msi-api,False,True,False,3
draft-ietf-iwg-bgpapplication,True,False,False,0
draft-ietf-iwg-bgp,True,False,False,0
draft-ietf-fddi-ipdatagrams,True,False,False,1
draft-ietf-userdoc-bibliography,True,False,False,0
draft-ietf-snmp-mib2,True,False,False,4
draft-ietf-ppp-options,True,False,False,3
draft-ietf-pcc-gwcc,True,False,False,1
draft-ietf-pdn-pdnclusternetassignm,False,True,False,0
draft-ietf-pdn-pdncluster,False,True,False,0
draft-ietf-noctools-debugging,True,False,False,5
draft-ietf-alertman-asyncalertman,True,False,False,2
draft-ietf-auth-ipauthoption,False,True,False,0
draft-ietf-dhc-problem-stmt,False,True,False,0
draft-ietf-osi-iso8473,True,False,False,0
draft-ietf-pdn-clusterscheme,False,True,False,0
draft-ietf-oim-mib2,True,False,False,2
draft-ietf-rose-tsbridge,False,True,False,0
draft-ietf-pdn-xarp,False,True,False,1
draft-ietf-snmp-t1mib,True,False,False,7
draft-ietf-telnet-linemodeoption,True,False,False,2
draft-ietf-telnet-authentication,True,False,False,4
draft-ietf-telnet-encryption,False,True,False,2
draft-ietf-telnet-compression,False,True,False,0
draft-ietf-snmpauth-communities,False,True,False,1
draft-ietf-snmpauth-manageobject,False,True,False,2
draft-ietf-snmpauth-authsnmp,False,True,False,2
draft-ietf-oim-cmot,True,False,False,0
draft-ietf-snmp-clnpmib,True,False,False,0
draft-ietf-snmp-OsiSnmp,True,False,False,0
draft-ietf-osinsap-format,False,True,False,1
draft-ietf-bmwg-terms,True,False,False,1
draft-ietf-iwg-bgp-mib,True,False,False,2
draft-ietf-smds-ipdatagrams,True,False,False,3
draft-ietf-lanman-mib,False,True,False,0
draft-ietf-lanman-alerts,False,True,False,0
draft-ietf-ospf-ospf2,True,False,False,1
draft-ietf-pdnrout-x25call,False,True,False,0
draft-ietf-snmp-snmpoveripx,True,False,False,0
draft-ietf-cip-st2,True,False,False,0
draft-ietf-snmp-mibdefinitions,True,False,False,3
draft-ietf-snmp-traps,True,False,False,2
draft-ietf-snmp-interfacemibext,True,False,False,1
draft-ietf-snmp-tokenbusmib,True,False,False,1
draft-ietf-snmp-tokenringmib,True,False,False,2
draft-ietf-snmp-ethernetmib,True,False,False,5
draft-ietf-pppext-bridging,True,False,False,1
draft-ietf-snmp-proxys,False,True,False,1
draft-ietf-snmp-ds3interface,True,False,False,4
draft-ietf-snmp-proxycomments,False,True,False,0
draft-ietf-snmp-smdssipmib,True,False,False,6
draft-ietf-osix500-directories,False,True,False,1
draft-ietf-osids-cosinex500,True,False,False,5
draft-ietf-osids-replsoln,True,False,False,3
draft-ietf-charmib-rs232like,True,False,False,4
