imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
3,<20140418111016.2560.76411.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,False,3.2,False,1.0990770048408942e-11
4,<20140418111016.2560.8459.ARCHIVE@ietfa.amsl.com>,,1.8 (+),,,True,5.4,False,9.188546643202923e-14
5,<20140418111016.2560.98418.ARCHIVE@ietfa.amsl.com>,,4.3 (++++),,,False,3.7,False,2.3874482066782803e-07
9,<20140418111017.2560.5871.ARCHIVE@ietfa.amsl.com>,,4.3 (++++),,,True,13.6,False,5.472305829848176e-11
10,<20140418111017.2560.10477.ARCHIVE@ietfa.amsl.com>,,4.9 (++++),,,True,7.2,False,1.2587306446105357e-11
11,<20140418111017.2560.79724.ARCHIVE@ietfa.amsl.com>,,2.5 (++),,,False,4.7,False,1.1155035476850523e-08
12,<20140418111017.2560.23321.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,True,8.5,False,3.774599910965287e-08
13,<20140418111017.2560.52855.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,False,4.7,False,3.567903868795569e-08
14,<20140418111017.2560.31030.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,2.5,False,6.375390503300818e-09
15,<20140418111017.2560.29150.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,,False,3.1,False,1.529160983382399e-11
16,<20140418111017.2560.83566.ARCHIVE@ietfa.amsl.com>,,2.6 (++),,,False,3.1,False,4.5069845021885945e-05
17,<20140418111017.2560.10097.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,False,2.5,False,2.9051703328058154e-14
18,<20140418111017.2560.45271.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,3.8,False,3.6231654101211494e-06
19,<20140418111017.2560.78265.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,False,4.8,False,4.204138001666465e-11
20,<20140418111018.2560.54269.ARCHIVE@ietfa.amsl.com>,,3.3 (+++),,,False,1.5,False,8.534842290009091e-15
33,<20140418111018.2560.54769.ARCHIVE@ietfa.amsl.com>,,1.6 (+),,,False,1.5,False,6.518267579568839e-08
37,<20140418111018.2560.95253.ARCHIVE@ietfa.amsl.com>,,2.6 (++),,,False,1.5,False,2.5411289996051935e-10
38,<20140418111018.2560.10266.ARCHIVE@ietfa.amsl.com>,,2.8 (++),,,True,6.5,False,2.3219660223555712e-11
39,<20140418111019.2560.99154.ARCHIVE@ietfa.amsl.com>,,4.0 (++++),,,True,9.9,False,1.5215138106599125e-07
40,<20140418111019.2560.63581.ARCHIVE@ietfa.amsl.com>,,4.4 (++++),,,False,4.8,False,2.8304178658523835e-07
41,<20140418111019.2560.70775.ARCHIVE@ietfa.amsl.com>,,1.8 (+),,,True,8.3,False,1.212535909312618e-06
53,<20140418111019.2560.34303.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,False,3.8,False,5.186924917661311e-09
63,<20140418111020.2560.83703.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,4.8,False,6.683512944704734e-10
98,<20140418111020.2560.51157.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,False,3.0,False,0.00015676487151566193
99,<20140418111020.2560.72092.ARCHIVE@ietfa.amsl.com>,,4.6 (++++),,,True,9.4,False,0.014378408682403792
104,<20140418111020.2560.60226.ARCHIVE@ietfa.amsl.com>,,3.0 (+++),,,False,3.1,False,6.321540956365605e-07
109,<20140418111020.2560.44076.ARCHIVE@ietfa.amsl.com>,,1.7 (+),,,False,3.8,False,2.9101441360162755e-08
