imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,,NO,-102.257,,"No, score=-102.257 tagged_above=-999 required=5 tests=[AWL=0.341, BAYES_00=-2.599, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,,NO,-102.268,,"No, score=-102.268 tagged_above=-999 required=5 tests=[AWL=0.329, BAYES_00=-2.599, HTML_MESSAGE=0.001, MIME_HTML_MOSTLY=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.03481168340193519
3,<E6E66922099CFB4391FAA7A7D3238F9F163FE1A2@FRMRSSXCHMBSC3.dc-m.alcatel-lucent.com>,NO,-1.748,,"No, score=-1.748 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_FR=0.35, HTML_MESSAGE=0.001, MIME_BAD_LINEBREAK=0.5]",False,2.2,False,0.001299156153328721
4,,NO,-100.773,,"No, score=-100.773 tagged_above=-999 required=5 tests=[AWL=-1.189, BAYES_40=-0.185, HTML_MESSAGE=0.001, J_CHICKENPOX_13=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,,NO,-99.68,,"No, score=-99.68 tagged_above=-999 required=5 tests=[AWL=-0.282, BAYES_50=0.001, HTML_MESSAGE=0.001, J_CHICKENPOX_13=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<5EB1A55E180C914BBC1A49310B762938669031AC45@HQ1-EXCH02.corp.brocade.com>,NO,-0.489,,"No, score=-0.489 tagged_above=-999 required=5 tests=[AWL=-1.425, BAYES_50=0.001, HTML_MESSAGE=0.001, IP_NOT_FRIENDLY=0.334, J_CHICKENPOX_13=0.6]",False,-2.0,False,0.669270692071739
7,,NO,-100.994,,"No, score=-100.994 tagged_above=-999 required=5 tests=[AWL=-0.855, BAYES_20=-0.74, HTML_MESSAGE=0.001, J_CHICKENPOX_13=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.15960297761042466
8,,NO,-100.691,,"No, score=-100.691 tagged_above=-999 required=5 tests=[AWL=-1.107, BAYES_40=-0.185, HTML_MESSAGE=0.001, J_CHICKENPOX_13=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,,NO,-101.867,,"No, score=-101.867 tagged_above=-999 required=5 tests=[AWL=0.131, BAYES_00=-2.599, HTML_MESSAGE=0.001, J_CHICKENPOX_13=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.15960297761042466
10,,NO,-102.17,,"No, score=-102.17 tagged_above=-999 required=5 tests=[AWL=0.428, BAYES_00=-2.599, HTML_MESSAGE=0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
11,,NO,-3.35,,"No, score=-3.35 tagged_above=-999 required=5 tests=[AWL=0.248, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.9,False,0.03481168340193519
