imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
4,<20140418110943.2560.9499.ARCHIVE@ietfa.amsl.com>,,4.0 (++++),,,True,8.2,False,1.268017789673915e-12
5,<20140418110943.2560.90624.ARCHIVE@ietfa.amsl.com>,,2.2 (++),,,False,4.7,False,6.692247937728515e-06
17,<20140418110945.2560.51260.ARCHIVE@ietfa.amsl.com>,,1.7 (+),,,False,3.7,False,0.00017338516676110842
18,<20140418110945.2560.13621.ARCHIVE@ietfa.amsl.com>,,4.4 (++++),,,False,2.0,False,4.453484229847819e-08
19,<20140418110945.2560.93128.ARCHIVE@ietfa.amsl.com>,,3.7 (+++),,,False,1.6,False,5.202020630561276e-06
31,<20140418110948.2560.18251.ARCHIVE@ietfa.amsl.com>,,1.5 (+),,,True,7.1,False,1.6238330992092234e-06
33,<20140418110948.2560.13459.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,False,3.9,False,5.692224089224597e-07
34,<20140418110948.2560.75659.ARCHIVE@ietfa.amsl.com>,,4.4 (++++),,,True,10.7,False,2.9484316667683064e-12
35,<20140418110948.2560.17979.ARCHIVE@ietfa.amsl.com>,,2.4 (++),,,True,10.9,False,5.9291995477053064e-12
36,<20140418110948.2560.85129.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,0.0,True,0.9727781106372814
37,<20140418110948.2560.83681.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,False,1.0,False,0.6152907348201759
71,<20140418110954.2560.78509.ARCHIVE@ietfa.amsl.com>,,2.2 (++),,,True,11.6,False,1.6992588560030724e-06
72,<20140418110954.2560.50711.ARCHIVE@ietfa.amsl.com>,,4.3 (++++),,,True,7.6,False,8.806109704656894e-09
73,<20140418110954.2560.39469.ARCHIVE@ietfa.amsl.com>,,0.5 (/),,,False,4.9,False,3.3651762539167873e-09
79,<20140418110954.2560.52090.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,4.9,False,4.937383114510234e-16
83,<20140418110955.2560.96917.ARCHIVE@ietfa.amsl.com>,,1.8 (+),,,True,7.6,False,1.2417280192517076e-11
84,<20140418110955.2560.17301.ARCHIVE@ietfa.amsl.com>,,1.5 (+),,,True,10.1,False,1.2870573123770973e-14
85,<20140418110955.2560.50556.ARCHIVE@ietfa.amsl.com>,,3.4 (+++),,,False,4.9,False,5.390369058511602e-09
86,<20140418110955.2560.5175.ARCHIVE@ietfa.amsl.com>,,2.9 (++),,,True,7.0,False,1.03884643527115e-05
87,<20140418110955.2560.9242.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,True,6.0,False,0.0002336483443216989
88,<20140418110955.2560.78316.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,True,5.0,False,4.513363291822707e-07
89,<20140418110956.2560.37139.ARCHIVE@ietfa.amsl.com>,,2.5 (++),,,True,7.3,False,0.0004922288300634963
93,<20140418110956.2560.42046.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,True,10.9,False,1.436755847093018e-05
94,<20140418110956.2560.53158.ARCHIVE@ietfa.amsl.com>,,2.2 (++),,,True,10.8,False,0.00010533819283479067
99,<20140418110956.2560.31579.ARCHIVE@ietfa.amsl.com>,,1.4 (+),,,False,4.8,False,5.4257666823595686e-08
101,<20140418110956.2560.33552.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,6.1,False,5.778130591864799e-10
103,<20140418110957.2560.87805.ARCHIVE@ietfa.amsl.com>,,0.7 (/),,,True,6.9,False,2.3311689284175282e-07
106,<20140418110957.2560.99642.ARCHIVE@ietfa.amsl.com>,,1.5 (+),,,True,7.0,False,0.0033567948798139966
108,<20140418110957.2560.14705.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,True,10.9,False,1.463177177870641e-10
109,<20140418110957.2560.88644.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,True,7.0,False,3.171467079903374e-07
110,<20140418110958.2560.8179.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,4.4,False,1.7926966448771774e-10
111,<20140418110958.2560.64374.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,,False,1.5,False,2.3295365369856945e-05
112,<20140418110958.2560.24669.ARCHIVE@ietfa.amsl.com>,,3.2 (+++),,,True,6.2,False,6.7970276645448095e-12
113,<20140418110958.2560.726.ARCHIVE@ietfa.amsl.com>,,0.5 (/),,,False,2.5,False,1.2025048102802679e-09
114,<20140418110958.2560.55991.ARCHIVE@ietfa.amsl.com>,,1.6 (+),,,False,2.7,False,1.72479554963553e-07
115,<20140418110958.2560.98683.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,4.9,False,3.774599910965287e-08
116,<20140418110958.2560.2101.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,1.5,False,8.936904513359083e-09
117,<20140418110958.2560.71469.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,False,3.8,False,3.293213312269393e-11
118,<20140418110958.2560.78027.ARCHIVE@ietfa.amsl.com>,,2.7 (++),,,False,1.5,False,5.910690769538005e-16
