imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20140418010943.2560.69264.ARCHIVE@ietfa.amsl.com>,,,,,False,0.0,True,0.9921645895041332
2,<20140418010943.2560.12919.ARCHIVE@ietfa.amsl.com>,,,,,False,1.2,False,0.5145399773060234
3,<20140418010944.2560.88625.ARCHIVE@ietfa.amsl.com>,,,,,True,7.4,False,7.352022257127054e-08
4,<20140418010945.2560.85572.ARCHIVE@ietfa.amsl.com>,,,,,False,3.6,False,1.2333579579038325e-05
5,<20140418010945.2560.72372.ARCHIVE@ietfa.amsl.com>,,,,,False,-1.0,False,6.997710992777148e-09
6,<20140418010945.2560.30305.ARCHIVE@ietfa.amsl.com>,,,,,False,2.1,False,3.213721368920887e-07
7,<20140418010947.2560.21328.ARCHIVE@ietfa.amsl.com>,,,,,True,6.6,False,0.7189408625521978
8,<20140418010947.2560.68932.ARCHIVE@ietfa.amsl.com>,,,,,True,6.6,False,0.7189408625521978
13,<20140418010948.2560.64920.ARCHIVE@ietfa.amsl.com>,,2.0 (++),,,True,7.1,False,1.659988089826899e-08
14,<20140418010949.2560.2709.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,True,5.8,False,0.5470198883922577
15,<20140418010949.2560.47917.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,6.1,False,4.7888535237372e-11
16,<20140418010949.2560.11108.ARCHIVE@ietfa.amsl.com>,,3.8 (+++),,,True,6.0,False,1.3536968348410577e-09
17,<20140418010949.2560.2229.ARCHIVE@ietfa.amsl.com>,,4.9 (++++),,,False,4.8,False,1.3706395582960035e-06
18,<20140418010949.2560.47845.ARCHIVE@ietfa.amsl.com>,,1.6 (+),,,False,4.7,False,7.461521309869604e-06
19,<20140418010949.2560.34565.ARCHIVE@ietfa.amsl.com>,,1.6 (+),,,True,6.2,False,2.9812371729271316e-07
20,<20140418010949.2560.93117.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,False,2.7,False,1.6960199912554186e-11
21,<20140418010949.2560.84869.ARCHIVE@ietfa.amsl.com>,,3.6 (+++),,,False,3.7,False,4.0100666730617175e-07
22,<20140418010949.2560.88978.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,False,4.0,False,6.378984591838309e-05
23,<20140418010949.2560.36492.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,3.8,False,6.155262701814965e-08
24,<20140418010949.2560.75837.ARCHIVE@ietfa.amsl.com>,,2.0 (++),,,False,4.7,False,1.142367121310461e-10
25,<20140418010949.2560.96389.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,1.5,False,1.5349032951318938e-05
26,<20140418010949.2560.17386.ARCHIVE@ietfa.amsl.com>,,2.0 (++),,,False,1.5,False,0.0006213166191316201
27,<20140418010949.2560.56431.ARCHIVE@ietfa.amsl.com>,,1.5 (+),,,False,2.5,False,0.001887935763294181
28,<20140418010949.2560.8285.ARCHIVE@ietfa.amsl.com>,,2.0 (++),,,False,2.5,False,0.0043613851491077285
29,<20140418010949.2560.30598.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,False,3.8,False,1.1217682168089107e-10
30,<20140418010949.2560.37210.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,1.5,False,5.322383537113763e-10
31,<20140418010950.2560.66964.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,True,7.4,False,0.06937561404154712
32,<20140418010950.2560.33636.ARCHIVE@ietfa.amsl.com>,,2.1 (++),,,False,2.5,False,0.0003603590578493345
33,<20140418010950.2560.97901.ARCHIVE@ietfa.amsl.com>,,1.5 (+),,,False,4.3,False,0.4791467770115218
