imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20140418053742.2560.84310.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,True,6.1,False,3.9854570638698114e-13
2,<20140418053743.2560.67584.ARCHIVE@ietfa.amsl.com>,,2.0 (++),,,True,8.6,False,2.1472082943627673e-12
5,<20140418053745.2560.46758.ARCHIVE@ietfa.amsl.com>,,4.0 (++++),,,True,26.1,False,1.8220198663539187e-09
6,<20140418053745.2560.93036.ARCHIVE@ietfa.amsl.com>,,3.1 (+++),,,True,6.6,False,3.5001618943515704e-06
10,<20140418053746.2560.92416.ARCHIVE@ietfa.amsl.com>,,4.1 (++++),,,True,9.8,False,6.464081483465495e-15
11,<20140418053746.2560.75501.ARCHIVE@ietfa.amsl.com>,,2.6 (++),,,True,8.2,False,6.870793671066827e-14
13,<20140418053746.2560.87440.ARCHIVE@ietfa.amsl.com>,,3.9 (+++),,,True,6.5,False,0.0005319314060888514
15,<20140418053747.2560.64834.ARCHIVE@ietfa.amsl.com>,,3.9 (+++),,,True,10.2,False,0.49999999999999784
16,<20140418053747.2560.92293.ARCHIVE@ietfa.amsl.com>,,0.0 (/),,,True,6.4,False,1.5322845319711066e-07
17,<20140418053747.2560.93775.ARCHIVE@ietfa.amsl.com>,,1.7 (+),,,True,7.2,False,8.350516649910674e-07
18,<20140418053747.2560.30147.ARCHIVE@ietfa.amsl.com>,,4.5 (++++),,,True,7.3,False,1.7027916916308554e-07
19,<20140418053747.2560.40525.ARCHIVE@ietfa.amsl.com>,,4.2 (++++),,,False,2.5,False,3.6525682206678905e-06
20,<20140418053747.2560.45741.ARCHIVE@ietfa.amsl.com>,,1.9 (+),,,True,12.6,True,0.9790278596528308
24,<20140418053749.2560.531.ARCHIVE@ietfa.amsl.com>,,1.9 (+),,,True,9.9,False,4.336526311095009e-07
25,<20140418053749.2560.20738.ARCHIVE@ietfa.amsl.com>,,3.7 (+++),,,True,10.7,False,5.058640559102056e-12
26,<20140418053749.2560.61054.ARCHIVE@ietfa.amsl.com>,,2.3 (++),,,True,13.9,False,3.2843452465037035e-09
27,<20140418053749.2560.66405.ARCHIVE@ietfa.amsl.com>,,0.5 (/),,,False,1.8,False,0.6152907348201759
28,<20140418053749.2560.24257.ARCHIVE@ietfa.amsl.com>,,2.7 (++),,,False,0.0,False,0.6152907348201759
29,<20140418053749.2560.88547.ARCHIVE@ietfa.amsl.com>,,4.5 (++++),,,False,0.0,False,0.0024202311086744216
30,<20140418053749.2560.63357.ARCHIVE@ietfa.amsl.com>,,3.5 (+++),,,False,0.0,False,0.6152907348201759
31,<20140418053749.2560.78833.ARCHIVE@ietfa.amsl.com>,,4.8 (++++),,,False,1.0,False,0.8179615923445468
32,<20140418053750.2560.76371.ARCHIVE@ietfa.amsl.com>,,1.3 (+),,,True,14.4,False,0.00024411196244535026
33,<20140418053751.2560.68993.ARCHIVE@ietfa.amsl.com>,,3.2 (+++),,,True,13.7,False,1.6095204252294678e-07
34,<20140418053751.2560.20257.ARCHIVE@ietfa.amsl.com>,,0.1 (/),,,True,6.8,False,1.2795961287378097e-06
